"year","industry_aggregation_nzsioc","industry_code_nzsioc","industry_name_nzsioc","units","variable_code","variable_name","variable_category","value","industry_code_anzsic06"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H19","Purchases and other operating expenses","Financial performance",2748,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H20","Non-operating expenses","Financial performance",23,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H21","Opening stocks","Financial performance",374,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H22","Closing stocks","Financial performance",365,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H23","Surplus before income tax","Financial performance",919,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H24","Total assets","Financial position",15932,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H25","Current assets","Financial position",2745,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H26","Fixed tangible assets","Financial position",10530,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H29","Other assets","Financial position",2656,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H30","Total equity and liabilities","Financial position",15932,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H31","Shareholders funds or owners equity","Financial position",7634,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H32","Current liabilities","Financial position",3447,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars (millions)","H33","Other liabilities","Financial position",4851,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars","H34","Total income per employee count","Financial ratios",194000,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Dollars","H35","Surplus per employee count","Financial ratios",35500,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H36","Current ratio","Financial ratios",80,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H37","Quick ratio","Financial ratios",69,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H39","Return on equity","Financial ratios",12,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H40","Return on total assets","Financial ratios",6,"ANZSIC06 groups A011, A012, and A013"
2020,"Level 4","AA111","Horticulture and Fruit Growing","Percentage","H41","Liabilities structure","Financial ratios",48,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H01","Total income","Financial performance",4723,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H04","Sales, government funding, grants and subsidies","Financial performance",4406,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H05","Interest, dividends and donations","Financial performance",132,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H07","Non-operating income","Financial performance",185,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H08","Total expenditure","Financial performance",3922,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H09","Interest and donations","Financial performance",201,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H10","Indirect taxes","Financial performance",36,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H11","Depreciation","Financial performance",231,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H12","Salaries and wages paid","Financial performance",816,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H13","Redundancy and severance","Financial performance",0,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H19","Purchases and other operating expenses","Financial performance",2619,"ANZSIC06 groups A011, A012, and A013"
2019,"Level 3","AA11","Horticulture and Fruit Growing","Dollars (millions)","H20","Non-operating expenses","Financial performance",19,"ANZSIC06 groups A011, A012, and A013"
